CID10 CATEGORIA;Total_2018
Total;2086974.0
Capítulo I: Algumas doencas Infecciosas e parasitárias (A00-B99);31544.0
A00:Colera;43.0
A01:Febres Tifoide e Paratifoide;7.0
A02:Outras Infeccoes por Salmonella;8.0
A03:Shiguelose;3.0
A04:Outras Infeccoes Intestinais Bacterianas;34.0
A05:Outras Intoxicacoes Alimentares Bacterianas;4.0
A06:Amebiase;49.0
A07:Outras Doencas Intestinais por Protozoarios;1.0
A08:Infeccoes Intestinais Virais, Outras e as Nao Especificadas;21.0
A09:Diarreia e Gastroenterite de Origem Infeccaosa Presumivel;243.0
A15:Tuberculose Respiratoria, com Confirmacao Bacteriologica e Histologica;6091.0
A16:Tuberculose das Vias Respiratorias, sem Confirmacao Bacteriologica ou Histologica;2343.0
A17:Tuberculose do Sistema Nervoso;46.0
A18:Tuberculose de Outros Orgaos;398.0
A19:Tuberculose Miliar;104.0
A20:Peste;0.0
A21:Tularemia;1.0
A22:Carbunculo;13.0
A23:Brucelose;18.0
A24:Mormo e Melioidose;1.0
A25:Febres Transmitidas por Mordedura de Rato;1.0
A26:Erisipeloide;35.0
A27:Leptospirose;204.0
A28:Outras Doencas Bacterianas Zoonoticas Nao Classificadas em Outra Parte;2.0
A30:Hanseniase [Doenca de Hansen] [Lepra];2796.0
A31:Infeccoes Devidas a Outras Micobacterias;64.0
A32:Listeriose [Listeriase];1.0
A33:Tetano do Recem-Nascido [Neonatal];0.0
A34:Tetano Obstetrico;0.0
A35:Outros Tipos de Tetano;15.0
A36:Difteria;1.0
A37:Coqueluche;13.0
A38:Escarlatina;1.0
A39:Infeccao MeniNaogocica;38.0
A40:Septicemia Estreptococica;35.0
A41:Outras Septicemias;416.0
A42:Actinomicose;7.0
A43:Nocardiose;3.0
A44:Bartonelose;5.0
A46:Erisipela;3079.0
A48:Outras Doencas Bacterianas Nao Classificadas em Outra Parte;72.0
A49:Infeccao Bacteriana de Local Nao Especificado;367.0
A50:Sifilis Congenita;6.0
A51:Sifilis Precoce;30.0
A52:Sifilis Tardia;61.0
A53:Outras Formas e as Nao Especificadas da Sifilis;34.0
A54:Infeccao Gonococica;4.0
A55:Linfogranuloma(Venereo) por Clamidia;2.0
A56:Outras Infeccoes Causadas por Clamidias Transmitidas por Via Sexual;3.0
A57:Cancro Mole;1.0
A58:Granuloma Inguinal;8.0
A59:Tricomoniase;0.0
A60:Infeccoes Anogenitais Pelo Virus do Herpes [Herpes Simples];16.0
A63:Outras Doencas de Transmissao Predominantemente Sexual, Nao Classificadas em Outra Parte;73.0
A64:Doencas Sexualmente Transmitidas, Nao Especificadas;4.0
A65:Sifilis Nao-Venerea;0.0
A66:Bouba;44.0
A67:Pinta [Carate];1.0
A68:Febres Recorrentes [Borrelioses];23.0
A69:Outras Infeccoes por Espiroquetas;5.0
A70:Infeccoes Causadas por Clamidia Psittaci;0.0
A71:Tracoma;6.0
A74:Outras Doencas Causadas por Clamidias;6.0
A75:Tifo Exantematico;0.0
A77:Febre Maculosa [Rickettsioses Transmitidas por Carrapatos];19.0
A78:Febre Q;0.0
A79:Outras Rickettsioses;2.0
A80:Poliomielite Aguda;11.0
A81:Infeccoes por Virus Atipico do Sistema Nervoso Central;14.0
A82:Raiva;0.0
A83:Encefalite por Virus Transmitidos por Mosquitos;5.0
A84:Encefalite por Virus Transmitido por Carrapatos;0.0
A85:Outras Encefalites Virais, Nao Classificadas em Outra Parte;11.0
A86:Encefalite Viral, Nao Especificada;63.0
A87:Meningite Viral;124.0
A88:Outras Infeccoes Virais do Sistema Nervoso Central Nao Classificadas em Outra Parte;3.0
A89:Infeccoes Virais Nao Especificadas do Sistema Nervoso Central;5.0
A90:Dengue [Dengue Classico];262.0
A91:Febre Hemorragica Devida ao Virus do Dengue;20.0
A92:Outras Febres Virais Transmitidas por Mosquitos;728.0
A93:Outras Febres por Virus Transmitidas por Artropodes Nao Classificadas em Outra Parte;8.0
A94:Febre Viral Transmitida por Artropodes, Nao Especificada;8.0
A95:Febre Amarela;77.0
A96:Febre Hemorragica por Arenavirus;0.0
A98:Outras Febres Hemorragicas por Virus, Nao Classificadas em Outra Parte;10.0
A99:Febres Hemorragicas Virais Nao Especificadas;1.0
B00:Infeccoes Pelo Virus do Herpes [Herpes Simples];109.0
B01:Varicela;134.0
B02:Herpes Zoster [Zona];639.0
B03:Variola;0.0
B04:Variola dos Macacos [Monkeypox];0.0
B05:Sarampo;10.0
B06:Rubeola;2.0
B07:Verrugas de Origem Viral;189.0
B08:Outras Infeccoes Virais Caracterizadas por Lesoes da Pele e das Membranas Mucosas, Nao Classificadas em Outra Parte;16.0
B09:Infeccao Viral Nao Especificada Caracterizada por Lesoes da Pele e Membranas Mucosas;12.0
B15:Hepatite Aguda A;254.0
B16:Hepatite Aguda B;127.0
B17:Outras Hepatites Virais Agudas;111.0
B18:Hepatite Viral Cronica;630.0
B19:Hepatite Viral Nao Especificada;109.0
B20:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv], Resultando em Doencas Infecciosas e Parasitarias;964.0
B21:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv], Resultando em Neoplasias Malignas;55.0
B22:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Resultando em Outras Doencas Especificadas;122.0
B23:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Resultando em Outras Doencas;258.0
B24:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Nao Especificada;4616.0
B25:Doenca por Citomegalovirus;46.0
B26:Caxumba [Parotidite Epidemica];161.0
B27:Mononucleose Infeccaosa;53.0
B30:Conjuntivite Viral;201.0
B33:Outras Doencas por Virus Nao Classificada em Outra Parte;11.0
B34:Doencas por Virus, de Localizacao Nao Especificada;98.0
B35:Dermatofitose;99.0
B36:Outras Micoses Superficiais;41.0
B37:Candidiase;28.0
B38:Coccidioidomicose;8.0
B39:Histoplasmose;47.0
B40:Blastomicose;45.0
B41:Paracoccidioidomicose;123.0
B42:Esporotricose;148.0
B43:Cromomicose e Abscesso Feomicotico;41.0
B44:Aspergilose;54.0
B45:Criptococose;85.0
B46:Zigomicose;6.0
B47:Micetoma;22.0
B48:Outras Micoses, Nao Classificadas em Outra Parte;12.0
B49:Micose Nao Especificada;21.0
B50:Malaria por Plasmodium Falciparum;3.0
