CID10 CATEGORIA;Total_2020
Total;2253698
Capítulo I: Algumas doencas Infecciosas e parasitárias (A00-B99);78836
A00:Colera;93
A01:Febres Tifoide e Paratifoide;21
A02:Outras Infeccoes por Salmonella;9
A03:Shiguelose;7
A04:Outras Infeccoess Intestinais Bacterianas;25
A05:Outras Intoxicacoes Alimentares Bacterianas;10
A06:Amebiase;21
A07:Outras Doencas Intestinais por Protozoarios;3
A08:Infeccoes Intestinais Virais, Outras e as Nao Especificadas;22
A09:Diarreia e Gastroenterite de Origem Infecciosa Presumivel;333
A15:Tuberculose Respiratoria, com Confirmacao Bacteriologica e Histologica;5254
A16:Tuberculose das Vias Respiratorias, sem Confirmacao Bacteriologica ou Histologica;1887
A17:Tuberculose do Sistema Nervoso;62
A18:Tuberculose de Outros Orgaos;428
A19:Tuberculose Miliar;125
A20:Peste;4
A21:Tularemia;2
A22:Carbunculo;5
A23:Brucelose;21
A24:Mormo e Melioidose;2
A25:Febres Transmitidas por Mordedura de Rato;1
A26:Erisipeloide;17
A27:Leptospirose;96
A28:Outras Doencas Bacterianas Zoonoticas Nao Classificadas em Outra Parte;5
A30:Hanseniase [Doenca de Hansen] [Lepra];2481
A31:Infeccoes Devidas a Outras Micobacterias;82
A32:Listeriose [Listeriase];4
A33:Tetano do Recem-Nascido [Neonatal];0
A34:Tetano Obstetrico;1
A35:Outros Tipos de Tetano;15
A36:Difteria;1
A37:Coqueluche;4
A38:Escarlatina;0
A39:Infeccao Meningogocica;16
A40:Septicemia Estreptococica;18
A41:Outras Septicemias;350
A42:Actinomicose;2
A43:Nocardiose;5
A44:Bartonelose;5
A46:Erisipela;1811
A48:Outras Doencas Bacterianas Nao Classificadas em Outra Parte;56
A49:Infeccao Bacteriana de Local Nao Especificado;208
A50:Sifilis Congenita;8
A51:Sifilis Precoce;20
A52:Sifilis Tardia;58
A53:Outras Formas e as Nao Especificadas da Sifilis;14
A54:Infeccao Gonococica;13
A55:Linfogranuloma (Venereo) por Clamidia;5
A56:Outras Infeccoes Causadas por Clamidias Transmitidas por Via Sexual;4
A57:Cancro Mole;1
A58:Granuloma Inguinal;3
A59:Tricomoniase;0
A60:Infeccoes Anogenitais Pelo Virus do Herpes [Herpes Simples];17
A63:Outras Doencas de Transmissao Predominantemente Sexual, Nao Classificadas em Outra Parte;25
A64:Doencas Sexualmente Transmitidas, Nao Especificadas;2
A65:Sifilis Nao-Venerea;2
A66:Bouba;22
A67:Pinta [Carate];1
A68:Febres Recorrentes [Borrelioses];18
A69:Outras Infeccoes por Espiroquetas;17
A70:Infeccoes Causadas por Clamidia Psittaci;3
A71:Tracoma;1
A74:Outras Doencas Causadas por Clamidias;2
A75:Tifo Exantematico;1
A77:Febre Maculosa [Rickettsioses Transmitidas por Carrapatos];1
A78:Febre Q;2
A79:Outras Rickettsioses;0
A80:Poliomielite Aguda;29
A81:Infeccoes por Virus Atipico do Sistema Nervoso Central;22
A82:Raiva;1
A83:Encefalite por Virus Transmitidos por Mosquitos;6
A84:Encefalite por Virus Transmitido por Carrapatos;1
A85:Outras Encefalites Virais, Nao Classificadas em Outra Parte;8
A86:Encefalite Viral, Nao Especificada;67
A87:Meningite Viral;54
A88:Outras Infeccoes Virais do Sistema Nervoso Central Nao Classificadas em Outra Parte;2
A89:Infeccoes Virais Nao Especificadas do Sistema Nervoso Central;5
A90:Dengue [Dengue Classico];546
A91:Febre Hemorragica Devida ao Virus do Dengue;31
A92:Outras Febres Virais Transmitidas por Mosquitos;564
A93:Outras Febres por Virus Transmitidas por Artropodes Nao Classificadas em Outra Parte;2
A94:Febre Viral Transmitida por Artropodes, Nao Especificada;9
A95:Febre Amarela;8
A96:Febre Hemorragica por Arenavirus;3
A98:Outras Febres Hemorragicas por Virus, Nao Classificadas em Outra Parte;3
A99:Febres Hemorragicas Virais Nao Especificadas;2
B00:Infeccoes Pelo Virus do Herpes [Herpes Simples];91
B01:Varicela;25
B02:Herpes Zoster [Zona];392
B03:Variola;1
B04:Variola dos Macacos [Monkeypox];1
B05:Sarampo;16
B06:Rubeola;3
B07:Verrugas de Origem Viral;91
B08:Outras Infeccoes Virais Caracterizadas por Lesoes da Pele e das Membranas Mucosas, Nao Classificadas em Outra Parte;13
B09:Infeccao Viral Nao Especificada Caracterizada por Lesoes da Pele e Membranas Mucosas;10
B15:Hepatite Aguda A;68
B16:Hepatite Aguda B;66
B17:Outras Hepatites Virais Agudas;41
B18:Hepatite Viral Cronica;559
B19:Hepatite Viral Nao Especificada;41
B20:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv], Resultando em Doencas Infecciosas e Parasitarias;767
B21:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv], Resultando em Neoplasias Malignas;46
B22:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Resultando em Outras Doencas Especificadas;54
B23:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Resultando em Outras Doencas;154
B24:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Nao Especificada;4009
B25:Doenca por Citomegalovirus;45
B26:Caxumba [Parotidite Epidemica];63
B27:Mononucleose Infecciosa;33
B30:Conjuntivite Viral;71
B33:Outras Doencas por Virus Nao Classificada em Outra Parte;94
B34:Doencas por Virus, de Localizacao Nao Especificada;50202
B35:Dermatofitose;63
B36:Outras Micoses Superficiais;35
B37:Candidiase;20
B38:Coccidioidomicose;17
B39:Histoplasmose;120
B40:Blastomicose;20
B41:Paracoccidioidomicose;148
B42:Esporotricose;183
B43:Cromomicose e Abscesso Feomicotico;178
B44:Aspergilose;58
B45:Criptococose;107
B46:Zigomicose;5
B47:Micetoma;20
B48:Outras Micoses, Nao Classificadas em Outra Parte;10
B49:Micose Nao Especificada;26
B50:Malaria por Plasmodium Falciparum;4
B51:Malaria por Plasmodium Vivax;11
B52:Malaria por Plasmodium Malariae;3
B53:Outras Formas de Malaria Confirmadas por Exames Parasitologicos;1
B54:Malaria Nao Especificada;7
B55:Leishmaniose;277
B56:Tripanossomiase Africana;1
B57:Doenca de Chagas;511
B58:Toxoplasmose;366
B59:Pneumocistose;42
B60:Outras Doencas Devidas a Protozoarios, Nao Classificadas em Outra Parte;3
B64:Doenca Nao Especificada Devida a Protozoarios;0
B65:Esquistossomose [Bilharziose] [Schistosomiase];50
B66:Outras Infestacoes por Trematodeos;1
B67:Equinococose;7
B68:Infestacoes por Taenia;0
B69:Cisticercose;129
B70:Difilobotriase e Esparganose;0
B71:Outras Infestacoes por Cestoides;1
B72:Dracontiase;1
B73:Oncocercose;0
B74:Filariose;11
B75:Triquinose;0
B76:Ancilostomiase;0
B77:Ascaridiase;1
B78:Estrongiloidiase;3
B79:Tricuriase;0
B80:Oxiuriase;1
B81:Outras Helmintiases Intestinais, Nao Classificadas em Outra Parte;1
B82:Parasitose Intestinal Nao Especificada;4
B83:Outras Helmintiases;0
B85:Pediculose e Ftiriase;1
B86:Escabiose [Sarna];61
B87:Miiase;22
B88:Outras Infestacoes;1
B89:Doenca Parasitaria Nao Especificada;0
B90:Sequelas de Tuberculose;217
B91:Sequelas de Poliomielite;406
B92:Sequelas de Hanseniase [Lepra];684
B94:Sequelas de Outras Doencas Infecciosas e Parasitarias e das Nao Especificadas;168
B95:Estreptococos e Estafilococos Como Causa de Doencas Classificadas em Outros Capitulos;21
B96:Outros Agentes Bacterianos, Como Causa de Doencas Classificadas em Outros Capitulos;15
B97:Virus Como Causa de Doencas Classificadas em Outros Capitulos;2690
B99:Doencas Infecciosas, Outras e as Nao Especificadas;33
Capítulo II: Neoplasias [tumores] (C00-D48);147807
C00:Neoplasia Maligna do Labio;65
C01:Neoplasia Maligna da Base da Lingua;274
C02:Neoplasia Maligna de Outras Partes e de Partes Nao Especificadas da Lingua;575
C03:Neoplasia Maligna da Gengiva;46
C04:Neoplasia Maligna do Assoalho da Boca;215
C05:Neoplasia Maligna do Palato;160
C06:Neoplasia Maligna de Outras Partes e de Partes Nao Especificadas da Boca;243
C07:Neoplasia Maligna da Glandula Parotida;161
C08:Neoplasia Maligna de Outras Glandulas Salivares Maiores e as Nao Especificadas;105
C09:Neoplasia Maligna da Amigdala;218
C10:Neoplasia Maligna da Orofaringe;863
C11:Neoplasia Maligna da Nasofaringe;404
C12:Neoplasia Maligna do Seio Piriforme;60
C13:Neoplasia Maligna da Hipofaringe;196
C14:Neoplasia Maligna de Outras Localizacoes e de Localizacoes Mal Definida, do Labio, Cavidade Oral e Faringe;141
C15:Neoplasia Maligna do Esofago;1399
C16:Neoplasia Maligna do Estomago;3685
C17:Neoplasia Maligna do Intestino Delgado;340
C18:Neoplasia Maligna do Colon;7713
C19:Neoplasia Maligna da Juncao Retossigmoide;777
C20:Neoplasia Maligna do Reto;3926
C21:Neoplasia Maligna do Anus e do Canal Anal;785
C22:Neoplasia Maligna do Figado e das Vias Biliares Intra-Hepaticas;840
C23:Neoplasia Maligna da Vesicula Biliar;158
C24:Neoplasia Maligna de Outras Partes, e de Partes Nao Especificadas das Vias Biliares;282
C25:Neoplasia Maligna do Pancreas;1585
C26:Neoplasia Maligna de Outros Orgaos Digestivos e de Localizaccoes Mal Definidas no Aparelho Digestivo;227
C30:Neoplasia Maligna da Cavidade Nasal e do Ouvido Medio;106
C31:Neoplasia Maligna dos Seios da Face;143
C32:Neoplasia Maligna da Laringe;1115
C33:Neoplasia Maligna da Traqueia;18
C34:Neoplasia Maligna dos Bronquios e dos Pulmoes;2875
C37:Neoplasia Maligna do Timo;80
C38:Neoplasia Maligna do Coraccao, Mediastino e Pleura;164
C39:Neoplasia Maligna de Outras Localizacoes e de Localizacoes Mal Definidas do Aparelho Respiratorio e dos Orgaos Intratoracicos;38
C40:Neoplasia Maligna dos Ossos e Cartilagens Articulares dos Membros;485
C41:Neoplasia Maligna dos Ossos e das Cartilagens Articulares de Outras Localizacoes e de Localizacoes Nao Especificadas;500
C43:Melanoma Maligno da Pele;1376
C44:Outras Neoplasias Malignas da Pele;1524
C45:Mesotelioma;35
C46:Sarcoma de Kaposi;114
C47:Neoplasia Maligna dos Nervos Perifericos e do Sistema Nervoso Autonomo;32
C48:Neoplasia Maligna dos Tecidos Moles do Retroperitonio e do Peritonio;250
C49:Neoplasia Maligna do Tecido Conjuntivo e de Outros Tecidos Moles;1566
C50:Neoplasia Maligna da Mama;32407
C51:Neoplasia Maligna da Vulva;112
C52:Neoplasia Maligna da Vagina;74
C53:Neoplasia Maligna do Colo do Utero;5389
C54:Neoplasia Maligna do Corpo do Utero;1268
C55:Neoplasia Maligna do Utero, Porcao Nao Especificada;119
C56:Neoplasia Maligna do Ovario;2214
C57:Neoplasia Maligna de Outros Orgaos Genitais Femininos e dos Nao Especificados;64
C58:Neoplasia Maligna da Placenta;116
C60:Neoplasia Maligna do Penis;294
C61:Neoplasia Maligna da Prostata;5814
C62:Neoplasia Maligna dos Testiculos;1554
C63:Neoplasia Maligna de Outros Orgaos Genitais Masculinos e dos Nao Especificados;49
