CID10 CATEGORIA;Total_2017
Total;1988169
Capítulo I: Algumas doencas infecciosas e parasitárias (A00-B99);32503
A00:Colera;190
A01:Febres Tifoide e Paratifoide;82
A02:Outras Infeccoes por Salmonella;18
A03:Shiguelose;2
A04:Outras Infeccoes Intestinais Bacterianas;31
A05:Outras Intoxicacoes Alimentares Bacterianas;12
A06:Amebiase;49
A07:Outras Doencas Intestinais por Protozoarios;9
A08:Infeccoes Intestinais Virais, Outras e as Nao Especificadas;12
A09:Diarreia e Gastroenterite de Origem Infecciosa Presumivel;233
A15:Tuberculose Respiratoria, com Confirmacao Bacteriologica e Histologica;6131
A16:Tuberculose das Vias Respiratorias, sem Confirmacao Bacteriologica ou Histologica;2432
A17:Tuberculose do Sistema Nervoso;65
A18:Tuberculose de Outros Orgaos;370
A19:Tuberculose Miliar;100
A20:Peste;2
A21:Tularemia;0
A22:Carbunculo;8
A23:Brucelose;13
A24:Mormo e Melioidose;0
A25:Febres Transmitidas por Mordedura de Rato;1
A26:Erisipeloide;25
A27:Leptospirose;160
A28:Outras Doencas Bacterianas Zoonoticas Nao Classificadas em Outra Parte;12
A30:Hanseniase [Doenca de Hansen] [Lepra];2679
A31:Infeccoes Devidas a Outras Micobacterias;56
A32:Listeriose [Listeriase];5
A33:Tetano do Recem-Nascido [Neonatal];2
A34:Tetano Obstetrico;0
A35:Outros Tipos de Tetano;13
A36:Difteria;0
A37:Coqueluche;9
A38:Escarlatina;2
A39:Infeccao Meningogocica;44
A40:Septicemia Estreptococica;15
A41:Outras Septicemias;371
A42:Actinomicose;4
A43:Nocardiose;9
A44:Bartonelose;11
A46:Erisipela;2980
A48:Outras Doencas Bacterianas Nao Classificadas em Outra Parte;82
A49:Infeccao Bacteriana de Local Nao Especificado;374
A50:Sifilis Congenita;3
A51:Sifilis Precoce;32
A52:Sifilis Tardia;52
A53:Outras Formas e as Nao Especificadas da Sifilis;28
A54:Infeccao Gonococica;11
A55:Linfogranuloma (Venereo) por Clamidia;2
A56:Outras Infeccoes Causadas por Clamidias Transmitidas por Via Sexual;6
A57:Cancro Mole;4
A58:Granuloma Inguinal;8
A59:Tricomoniase;1
A60:Infeccoes Anogenitais Pelo Virus do Herpes [Herpes Simples];25
A63:Outras Doencas de Transmissao Predominantemente Sexual, Nao Classificadas em Outra Parte;71
A64:Doencas Sexualmente Transmitidas, Nao Especificadas;6
A65:Sifilis Nao-Venerea;0
A66:Bouba;37
A67:Pinta [Carate];4
A68:Febres Recorrentes [Borrelioses];18
A69:Outras Infeccoes por Espiroquetas;17
A70:Infeccoes Causadas por Clamidia Psittaci;1
A71:Tracoma;4
A74:Outras Doencas Causadas por Clamidias;2
A75:Tifo Exantematico;0
A77:Febre Maculosa [Rickettsioses Transmitidas por Carrapatos];12
A78:Febre Q;0
A79:Outras Rickettsioses;1
A80:Poliomielite Aguda;16
A81:Infeccoes por Virus Atipico do Sistema Nervoso Central;13
A82:Raiva;0
A83:Encefalite por Virus Transmitidos por Mosquitos;3
A84:Encefalite por Virus Transmitido por Carrapatos;0
A85:Outras Encefalites Virais, Nao Classificadas em Outra Parte;17
A86:Encefalite Viral, Nao Especificada;72
A87:Meningite Viral;106
A88:Outras Infeccoes Virais do Sistema Nervoso Central Nao Classificadas em Outra Parte;0
A89:Infeccoes Virais Nao Especificadas do Sistema Nervoso Central;5
A90:Dengue [Dengue Classico];209
A91:Febre Hemorragica Devida ao Virus do Dengue;10
A92:Outras Febres Virais Transmitidas por Mosquitos;1203
A93:Outras Febres por Virus Transmitidas por Artropodes Nao Classificadas em Outra Parte;6
A94:Febre Viral Transmitida por Artropodes, Nao Especificada;9
A95:Febre Amarela;57
A96:Febre Hemorragica por Arenavirus;4
A98:Outras Febres Hemorragicas por Virus, Nao Classificadas em Outra Parte;3
A99:Febres Hemorragicas Virais Nao Especificadas;5
B00:Infeccoes Pelo Virus do Herpes [Herpes Simples];100
B01:Varicela;155
B02:Herpes Zoster [Zona];614
B03:Variola;0
B04:Variola dos Macacos [Monkeypox];0
B05:Sarampo;1
B06:Rubeola;2
B07:Verrugas de Origem Viral;184
B08:Outras Infeccoes Virais Caracterizadas por Lesoes da Pele e das Membranas Mucosas, Nao Classificadas em Outra Parte;11
B09:Infeccao Viral Nao Especificada Caracterizada por Lesoes da Pele e Membranas Mucosas;8
B15:Hepatite Aguda A;237
B16:Hepatite Aguda B;140
B17:Outras Hepatites Virais Agudas;106
B18:Hepatite Viral Cronica;766
B19:Hepatite Viral Nao Especificada;94
B20:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv], Resultando em Doencas Infecciosas e Parasitarias;1050
B21:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv], Resultando em Neoplasias Malignas;62
B22:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Resultando em Outras Doencas Especificadas;134
B23:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Resultando em Outras Doencas;281
B24:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Nao Especificada;4870
B25:Doenca por Citomegalovirus;42
B26:Caxumba [Parotidite Epidemica];333
B27:Mononucleose Infecciosa;54
B30:Conjuntivite Viral;126
