CID10 CATEGORIA;Total_2019
Total;2024105.0
Capítulo I: Algumas doencas Infecciosas e parasitárias (A00-B99);29287.0
A00:Colera;41.0
A01:Febres Tifoide e Paratifoide;10.0
A02:Outras Infeccoes por Salmonella;7.0
A03:Shiguelose;2.0
A04:Outras Infeccoess Intestinais Bacterianas;48.0
A05:Outras Intoxicacoes Alimentares Bacterianas;9.0
A06:Amebiase;36.0
A07:Outras Doencas Intestinais por Protozoarios;3.0
A08:Infeccoes Intestinais Virais, Outras e as Nao Especificadas;15.0
A09:Diarreia e Gastroenterite de Origem Infecciosa Presumivel;225.0
A15:Tuberculose Respiratoria, com Confirmacao Bacteriologica e Histologica;5619.0
A16:Tuberculose das Vias Respiratorias, sem Confirmacao Bacteriologica ou Histologica;2210.0
A17:Tuberculose do Sistema Nervoso;54.0
A18:Tuberculose de Outros Orgaos;362.0
A19:Tuberculose Miliar;93.0
A20:Peste;0.0
A21:Tularemia;1.0
A22:Carbunculo;8.0
A23:Brucelose;12.0
A24:Mormo e Melioidose;0.0
A25:Febres Transmitidas por Mordedura de Rato;0.0
A26:Erisipeloide;24.0
A27:Leptospirose;205.0
A28:Outras Doencas Bacterianas Zoonoticas Nao Classificadas em Outra Parte;8.0
A30:Hanseniase [Doenca de Hansen] [Lepra];2498.0
A31:Infeccoes Devidas a Outras Micobacterias;61.0
A32:Listeriose [Listeriase];2.0
A33:Tetano do Recem-Nascido [Neonatal];0.0
A34:Tetano Obstetrico;0.0
A35:Outros Tipos de Tetano;10.0
A36:Difteria;0.0
A37:Coqueluche;10.0
A38:Escarlatina;1.0
A39:Infeccao Meningogocica;39.0
A40:Septicemia Estreptococica;22.0
A41:Outras Septicemias;396.0
A42:Actinomicose;11.0
A43:Nocardiose;4.0
A44:Bartonelose;16.0
A46:Erisipela;3121.0
A48:Outras Doencas Bacterianas Nao Classificadas em Outra Parte;71.0
A49:Infeccao Bacteriana de Local Nao Especificado;329.0
A50:Sifilis Congenita;0.0
A51:Sifilis Precoce;24.0
A52:Sifilis Tardia;68.0
A53:Outras Formas e as Nao Especificadas da Sifilis;29.0
A54:Infeccao Gonococica;13.0
A55:Linfogranuloma (Venereo) por Clamidia;2.0
A56:Outras Infeccoes Causadas por Clamidias Transmitidas por Via Sexual;1.0
A57:Cancro Mole;4.0
A58:Granuloma Inguinal;5.0
A59:Tricomoniase;1.0
A60:Infeccoes Anogenitais Pelo Virus do Herpes [Herpes Simples];17.0
A63:Outras Doencas de Transmissao Predominantemente Sexual, Nao Classificadas em Outra Parte;57.0
A64:Doencas Sexualmente Transmitidas, Nao Especificadas;2.0
A65:Sifilis Nao-Venerea;1.0
A66:Bouba;26.0
A67:Pinta [Carate];2.0
A68:Febres Recorrentes [Borrelioses];17.0
A69:Outras Infeccoes por Espiroquetas;15.0
A70:Infeccoes Causadas por Clamidia Psittaci;0.0
A71:Tracoma;5.0
A74:Outras Doencas Causadas por Clamidias;3.0
A75:Tifo Exantematico;0.0
A77:Febre Maculosa [Rickettsioses Transmitidas por Carrapatos];8.0
A78:Febre Q;0.0
A79:Outras Rickettsioses;0.0
A80:Poliomielite Aguda;13.0
A81:Infeccoes por Virus Atipico do Sistema Nervoso Central;23.0
A82:Raiva;2.0
A83:Encefalite por Virus Transmitidos por Mosquitos;1.0
A84:Encefalite por Virus Transmitido por Carrapatos;0.0
A85:Outras Encefalites Virais, Nao Classificadas em Outra Parte;14.0
A86:Encefalite Viral, Nao Especificada;87.0
A87:Meningite Viral;98.0
A88:Outras Infeccoes Virais do Sistema Nervoso Central Nao Classificadas em Outra Parte;1.0
A89:Infeccoes Virais Nao Especificadas do Sistema Nervoso Central;3.0
A90:Dengue [Dengue Classico];806.0
A91:Febre Hemorragica Devida ao Virus do Dengue;29.0
A92:Outras Febres Virais Transmitidas por Mosquitos;1334.0
A93:Outras Febres por Virus Transmitidas por Artropodes Nao Classificadas em Outra Parte;13.0
A94:Febre Viral Transmitida por Artropodes, Nao Especificada;15.0
A95:Febre Amarela;6.0
A96:Febre Hemorragica por Arenavirus;0.0
A98:Outras Febres Hemorragicas por Virus, Nao Classificadas em Outra Parte;5.0
A99:Febres Hemorragicas Virais Nao Especificadas;4.0
B00:Infeccoes Pelo Virus do Herpes [Herpes Simples];114.0
B01:Varicela;89.0
B02:Herpes Zoster [Zona];563.0
B03:Variola;0.0
B04:Variola dos Macacos [Monkeypox];0.0
B05:Sarampo;43.0
B06:Rubeola;2.0
B07:Verrugas de Origem Viral;184.0
B08:Outras Infeccoes Virais Caracterizadas por Lesoes da Pele e das Membranas Mucosas, Nao Classificadas em Outra Parte;21.0
B09:Infeccao Viral Nao Especificada Caracterizada por Lesoes da Pele e Membranas Mucosas;11.0
B15:Hepatite Aguda A;104.0
B16:Hepatite Aguda B;93.0
B17:Outras Hepatites Virais Agudas;67.0
B18:Hepatite Viral Cronica;545.0
B19:Hepatite Viral Nao Especificada;71.0
B20:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv], Resultando em Doencas Infecciosas e Parasitarias;786.0
B21:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv], Resultando em Neoplasias Malignas;49.0
B22:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Resultando em Outras Doencas Especificadas;94.0
B23:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Resultando em Outras Doencas;194.0
B24:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Nao Especificada;3722.0
B25:Doenca por Citomegalovirus;66.0
B26:Caxumba [Parotidite Epidemica];134.0
B27:Mononucleose Infecciosa;50.0
B30:Conjuntivite Viral;115.0
B33:Outras Doencas por Virus Nao Classificada em Outra Parte;9.0
B34:Doencas por Virus, de Localizacao Nao Especificada;123.0
B35:Dermatofitose;64.0
B36:Outras Micoses Superficiais;24.0
B37:Candidiase;30.0
B38:Coccidioidomicose;7.0
B39:Histoplasmose;35.0
B40:Blastomicose;29.0
B41:Paracoccidioidomicose;113.0
B42:Esporotricose;151.0
B43:Cromomicose e Abscesso Feomicotico;36.0
B44:Aspergilose;40.0
B45:Criptococose;100.0
B46:Zigomicose;2.0
B47:Micetoma;20.0
B48:Outras Micoses, Nao Classificadas em Outra Parte;7.0
B49:Micose Nao Especificada;22.0
B50:Malaria por Plasmodium Falciparum;4.0
B51:Malaria por Plasmodium Vivax;7.0
B52:Malaria por Plasmodium Malariae;0.0
B53:Outras Formas de Malaria Confirmadas por Exames Parasitologicos;1.0
B54:Malaria Nao Especificada;6.0
B55:Leishmaniose;467.0
B56:Tripanossomiase Africana;1.0
B57:Doenca de Chagas;508.0
B58:Toxoplasmose;405.0
B59:Pneumocistose;54.0
B60:Outras Doencas Devidas a Protozoarios, Nao Classificadas em Outra Parte;8.0
B64:Doenca Nao Especificada Devida a Protozoarios;1.0
B65:Esquistossomose [Bilharziose] [Schistosomiase];60.0
B66:Outras Infestacoes por Trematodeos;5.0
B67:Equinococose;18.0
B68:Infestacoes por Taenia;0.0
B69:Cisticercose;113.0
B70:Difilobotriase e Esparganose;0.0
B71:Outras Infestacoes por Cestoides;0.0
B72:Dracontiase;0.0
B73:Oncocercose;0.0
B74:Filariose;2.0
B75:Triquinose;1.0
B76:Ancilostomiase;1.0
B77:Ascaridiase;0.0
B78:Estrongiloidiase;1.0
B79:Tricuriase;0.0
B80:Oxiuriase;1.0
B81:Outras Helmintiases Intestinais, Nao Classificadas em Outra Parte;3.0
B82:Parasitose Intestinal Nao Especificada;0.0
B83:Outras Helmintiases;3.0
B85:Pediculose e Ftiriase;1.0
B86:Escabiose [Sarna];103.0
B87:Miiase;16.0
B88:Outras Infestacoes;0.0
B89:Doenca Parasitaria Nao Especificada;2.0
B90:Sequelas de Tuberculose;138.0
B91:Sequelas de Poliomielite;291.0
B92:Sequelas de Hanseniase [Lepra];622.0
B94:Sequelas de Outras Doencas Infecciosas e Parasitarias e das Nao Especificadas;35.0
B95:Estreptococos e Estafilococos Como Causa de Doencas Classificadas em Outros Capitulos;36.0
B96:Outros Agentes Bacterianos, Como Causa de Doencas Classificadas em Outros Capitulos;4.0
B97:Virus Como Causa de Doencas Classificadas em Outros Capitulos;80.0
B99:Doencas Infecciosas, Outras e as Nao Especificadas;23.0
Capítulo II: Neoplasias [tumores] (C00-D48);154133.0
C00:Neoplasia Maligna do Labio;90.0
C01:Neoplasia Maligna da Base da Lingua;196.0
C02:Neoplasia Maligna de Outras Partes e de Partes Nao Especificadas da Lingua;407.0
C03:Neoplasia Maligna da Gengiva;32.0
C04:Neoplasia Maligna do Assoalho da Boca;160.0
C05:Neoplasia Maligna do Palato;123.0
C06:Neoplasia Maligna de Outras Partes e de Partes Nao Especificadas da Boca;254.0
C07:Neoplasia Maligna da Glandula Parotida;163.0
C08:Neoplasia Maligna de Outras Glandulas Salivares Maiores e as Nao Especificadas;75.0
C09:Neoplasia Maligna da Amigdala;159.0
C10:Neoplasia Maligna da Orofaringe;595.0
C11:Neoplasia Maligna da Nasofaringe;243.0
C12:Neoplasia Maligna do Seio Piriforme;42.0
C13:Neoplasia Maligna da Hipofaringe;191.0
C14:Neoplasia Maligna de Outras Localizacoes e de Localizacoes Mal Definida, do Labio, Cavidade Oral e Faringe;110.0
C15:Neoplasia Maligna do Esofago;1112.0
C16:Neoplasia Maligna do Estomago;2685.0
C17:Neoplasia Maligna do Intestino Delgado;249.0
C18:Neoplasia Maligna do Colon;4894.0
C19:Neoplasia Maligna da Juncao Retossigmoide;540.0
C20:Neoplasia Maligna do Reto;2561.0
C21:Neoplasia Maligna do Anus e do Canal Anal;562.0
C22:Neoplasia Maligna do Figado e das Vias Biliares Intra-Hepaticas;708.0
C23:Neoplasia Maligna da Vesicula Biliar;131.0
C24:Neoplasia Maligna de Outras Partes, e de Partes Nao Especificadas das Vias Biliares;233.0
C25:Neoplasia Maligna do Pancreas;1070.0
C26:Neoplasia Maligna de Outros Orgaos Digestivos e de Localizaccoes Mal Definidas no Aparelho Digestivo;216.0
C30:Neoplasia Maligna da Cavidade Nasal e do Ouvido Medio;72.0
C31:Neoplasia Maligna dos Seios da Face;94.0
C32:Neoplasia Maligna da Laringe;847.0
C33:Neoplasia Maligna da Traqueia;8.0
C34:Neoplasia Maligna dos Bronquios e dos Pulmoes;2091.0
C37:Neoplasia Maligna do Timo;51.0
C38:Neoplasia Maligna do Coraccao, Mediastino e Pleura;133.0
C39:Neoplasia Maligna de Outras Localizacoes e de Localizacoes Mal Definidas do Aparelho Respiratorio e dos Orgaos Intratoracicos;85.0
C40:Neoplasia Maligna dos Ossos e Cartilagens Articulares dos Membros;305.0
C41:Neoplasia Maligna dos Ossos e das Cartilagens Articulares de Outras Localizacoes e de Localizacoes Nao Especificadas;342.0
C43:Melanoma Maligno da Pele;1115.0
C44:Outras Neoplasias Malignas da Pele;1898.0
C45:Mesotelioma;29.0
C46:Sarcoma de Kaposi;54.0
C47:Neoplasia Maligna dos Nervos Perifericos e do Sistema Nervoso Autonomo;19.0
C48:Neoplasia Maligna dos Tecidos Moles do Retroperitonio e do Peritonio;198.0
C49:Neoplasia Maligna do Tecido Conjuntivo e de Outros Tecidos Moles;1016.0
C50:Neoplasia Maligna da Mama;21519.0
C51:Neoplasia Maligna da Vulva;115.0
C52:Neoplasia Maligna da Vagina;51.0
C53:Neoplasia Maligna do Colo do Utero;4703.0
C54:Neoplasia Maligna do Corpo do Utero;1059.0
C55:Neoplasia Maligna do Utero, Porcao Nao Especificada;130.0
C56:Neoplasia Maligna do Ovario;1455.0
C57:Neoplasia Maligna de Outros Orgaos Genitais Femininos e dos Nao Especificados;95.0
C58:Neoplasia Maligna da Placenta;58.0
C60:Neoplasia Maligna do Penis;270.0
C61:Neoplasia Maligna da Prostata;5989.0
C62:Neoplasia Maligna dos Testiculos;1111.0
C63:Neoplasia Maligna de Outros Orgaos Genitais Masculinos e dos Nao Especificados;56.0
C64:Neoplasia Maligna do Rim, Exceto Pelve Renal;1850.0
C65:Neoplasia Maligna da Pelve Renal;78.0
C66:Neoplasia Maligna dos Ureteres;21.0
C67:Neoplasia Maligna da Bexiga;875.0
C68:Neoplasia Maligna de Outros Orgaos Urinarios e dos Nao Especificados;56.0
C69:Neoplasia Maligna do Olho e Anexos;130.0
C70:Neoplasia Maligna das Meninges;56.0
C71:Neoplasia Maligna do Encefalo;1607.0
C72:Neoplasia Maligna da Medula Espinhal, dos Nervos Cranianos e de Outras Partes do Sistema Nervoso Central;205.0
C73:Neoplasia Maligna da Glandula Tireoide;3185.0
C74:Neoplasia Maligna da Glandula Supra-Renal;77.0
C75:Neoplasia Maligna de Outras Glandulas Endocrinas e de Estruturas Relacionadas;92.0
C76:Neoplasia Maligna de Outras Localizacoes e de Localizacoes Mal Definidas;400.0
C77:Neoplasia Maligna Secundaria e Nao Especificada dos Ganglios Linfaticos;225.0
C78:Neoplasia Maligna Secundaria dos Orgaos Respiratorios e Digestivos;194.0
C79:Neoplasia Maligna Secundaria de Outras Localizacoes;292.0
C80:Neoplasia Maligna, sem Especificacao de Localizacao;631.0
C81:Doenca de Hodgkin;1126.0
C82:Linfoma Nao-Hodgkin, Folicular (Nodular);428.0
C83:Linfoma Nao-Hodgkin Difuso;968.0
C84:Linfomas de Celulas T Cutaneas e Perifericas;185.0
C85:Linfoma Nao-Hodgkin de Outros Tipos e de Tipo Nao Especificado;676.0
C88:Doencas Imunoproliferativas Malignas;29.0
C90:Mieloma Multiplo e Neoplasias Malignas de Plasmocitos;928.0
C91:Leucemia Linfoide;605.0
C92:Leucemia Mieloide;1135.0
C93:Leucemia Monocitica;8.0
C94:Outras Leucemias de Celulas de Tipo Especificado;50.0
C95:Leucemia de Tipo Celular Nao Especificado;114.0
C96:Outras Neoplasias Malignas e as Nao Especificadas dos Tecidos Linfatico, Hematopoetico e Tecidos Correlatos;54.0
C97:Neoplasias Malignas de Localizacoes Multiplas Independentes (Primarias);17.0
D00:Carcinoma In Situ da Cavidade Oral, do Esofago e do Estomago;50.0
D01:Carcinoma In Situ de Outros Orgaos Digestivos;67.0
D02:Carcinoma In Situ do Ouvido Medio e do Aparelho Respiratorio;29.0
D03:Melanoma In Situ;101.0
D04:Carcinoma In Situ da Pele;258.0
D05:Carcinoma In Situ da Mama;224.0
D06:Carcinoma In Situ do Colo do Utero (Cervix);567.0
D07:Carcinoma In Situ de Outros Orgaos Genitais e dos Nao Especificados;71.0
D09:Carcinoma In Situ de Outras Localizacoes e das Nao Especificadas;132.0
D10:Neoplasia Benigna da Boca e da Faringe;89.0
D11:Neoplasia Benigna de Glandulas Salivares Maiores;320.0
D12:Neoplasia Benigna do Colon, Reto, Canal Anal e Anus;214.0
D13:Neoplasia Benigna de Outras Partes e de Partes Mal Definidas do Aparelho Digestivo;224.0
D14:Neoplasia Benigna do Ouvido Medio e do Aparelho Respiratorio;80.0
D15:Neoplasia Benigna de Outros Orgaos Intratoracicos e dos Nao Especificados;109.0
D16:Neoplasia Benigna de Osso e de Cartilagem Articular;1080.0
D17:Neoplasia Lipomatosa Benigna;890.0
D18:Hemangioma e Linfangioma de Qualquer Localizacao;291.0
D19:Neoplasia Benigna de Tecido Mesotelial;29.0
D20:Neoplasia Benigna de Tecido Mole do Retroperitonio e do Peritonio;68.0
D21:Outras Neoplasias Benignas do Tecido Conjuntivo e de Outros Tecidos Moles;712.0
D22:Nevos Melanociticos;73.0
D23:Outras Neoplasias Benignas da Pele;224.0
D24:Neoplasia Benigna da Mama;438.0
D25:Leiomioma do Utero;54005.0
D26:Outras Neoplasias Benignas do Utero;613.0
D27:Neoplasia Benigna do Ovario;1542.0
D28:Neoplasia Benigna de Outros Orgaos Genitais Femininos e de Orgaos Nao Especificados;206.0
D29:Neoplasia Benigna dos Orgaos Genitais Masculinos;95.0
D30:Neoplasia Benigna dos Orgaos Urinarios;126.0
D31:Neoplasia Benigna do Olho e Anexos;36.0
D32:Neoplasia Benigna das Meninges;623.0
D33:Neoplasia Benigna do Encefalo e de Outras Partes do Sistema Nervoso Central;1410.0
