CID10 CATEGORIA;Total_2020
Total;71680
Capítulo I: Algumas doencas Infecciosas e parasitárias (A00-B99);556
A00:Colera;2
A01:Febres Tifoide e Paratifoide;0
A02:Outras Infeccoes por Salmonella;0
A03:Shiguelose;0
A04:Outras Infeccoes Intestinais Bacterianas;0
A05:Outras Intoxicacoes Alimentares Bacterianas;0
A06:Amebiase;0
A07:Outras Doencas Intestinais por Protozoarios;0
A08:Infeccoes Intestinais Virais, Outras e as Nao Especificadas;0
A09:Diarreia e Gastroenterite de Origem Infecciosa Presumivel;0
A15:Tuberculose Respiratoria, com Confirmacao Bacteriologica e Histologica;129
A16:Tuberculose das Vias Respiratorias, sem Confirmacao Bacteriologica ou Histologica;65
A17:Tuberculose do Sistema Nervoso;2
A18:Tuberculose de Outros Orgaos;14
A19:Tuberculose Miliar;7
A20:Peste;0
A21:Tularemia;0
A22:Carbunculo;0
A23:Brucelose;3
A24:Mormo e Melioidose;0
A25:Febres Transmitidas por Mordedura de Rato;0
A26:Erisipeloide;1
A27:Leptospirose;18
A28:Outras Doencas Bacterianas Zoonoticas Nao Classificadas em Outra Parte;0
A30:Hanseniase [Doenca de Hansen] [Lepra];0
A31:Infeccoes Devidas a Outras Micobacterias;2
A32:Listeriose [Listeriase];0
A33:Tetano do Recem-Nascido [Neonatal];0
A34:Tetano Obstetrico;0
A35:Outros Tipos de Tetano;1
A36:Difteria;0
A37:Coqueluche;0
A38:Escarlatina;0
A39:Infeccao Meningogocica;0
A40:Septicemia Estreptococica;0
A41:Outras Septicemias;0
A42:Actinomicose;0
A43:Nocardiose;0
A44:Bartonelose;0
A46:Erisipela;5
A48:Outras Doencas Bacterianas Nao Classificadas em Outra Parte;0
A49:Infeccao Bacteriana de Local Nao Especificado;0
A50:Sifilis Congenita;0
A51:Sifilis Precoce;0
A52:Sifilis Tardia;0
A53:Outras Formas e as Nao Especificadas da Sifilis;0
A54:Infeccao Gonococica;0
A55:Linfogranuloma (Venereo) por Clamidia;0
A56:Outras Infeccoes Causadas por Clamidias Transmitidas por Via Sexual;0
A57:Cancro Mole;0
A58:Granuloma Inguinal;0
A59:Tricomoniase;0
A60:Infeccoes Anogenitais Pelo Virus do Herpes [Herpes Simples];0
A63:Outras Doencas de Transmissao Predominantemente Sexual, Nao Classificadas em Outra Parte;0
A64:Doencas Sexualmente Transmitidas, Nao Especificadas;0
A65:Sifilis Nao-Venerea;0
A66:Bouba;0
A67:Pinta [Carate];0
A68:Febres Recorrentes [Borrelioses];0
A69:Outras Infeccoes por Espiroquetas;1
A70:Infeccoes Causadas por Clamidia Psittaci;0
A71:Tracoma;0
A74:Outras Doencas Causadas por Clamidias;0
A75:Tifo Exantematico;0
A77:Febre Maculosa [Rickettsioses Transmitidas por Carrapatos];0
A78:Febre Q;0
A79:Outras Rickettsioses;0
A80:Poliomielite Aguda;0
A81:Infeccoes por Virus Atipico do Sistema Nervoso Central;0
A82:Raiva;0
A83:Encefalite por Virus Transmitidos por Mosquitos;0
A84:Encefalite por Virus Transmitido por Carrapatos;0
A85:Outras Encefalites Virais, Nao Classificadas em Outra Parte;0
A86:Encefalite Viral, Nao Especificada;1
A87:Meningite Viral;0
A88:Outras Infeccoes Virais do Sistema Nervoso Central Nao Classificadas em Outra Parte;0
A89:Infeccoes Virais Nao Especificadas do Sistema Nervoso Central;0
A90:Dengue [Dengue Classico];3
A91:Febre Hemorragica Devida ao Virus do Dengue;0
A92:Outras Febres Virais Transmitidas por Mosquitos;0
A93:Outras Febres por Virus Transmitidas por Artropodes Nao Classificadas em Outra Parte;0
A94:Febre Viral Transmitida por Artropodes, Nao Especificada;0
A95:Febre Amarela;0
A96:Febre Hemorragica por Arenavirus;0
A98:Outras Febres Hemorragicas por Virus, Nao Classificadas em Outra Parte;0
A99:Febres Hemorragicas Virais Nao Especificadas;0
B00:Infeccoes Pelo Virus do Herpes [Herpes Simples];0
B01:Varicela;0
B02:Herpes Zoster [Zona];0
B03:Variola;0
B04:Variola dos Macacos [Monkeypox];0
B05:Sarampo;0
B06:Rubeola;0
B07:Verrugas de Origem Viral;0
B08:Outras Infeccoes Virais Caracterizadas por Lesoes  da Pele e das Membranas Mucosas, Nao Classificadas em Outra Parte;0
B09:Infeccao Viral Nao Especificada Caracterizada por Lesoes  da Pele e Membranas Mucosas;0
B15:Hepatite Aguda A;1
B16:Hepatite Aguda B;2
B17:Outras Hepatites Virais Agudas;1
B18:Hepatite Viral Cronica;8
B19:Hepatite Viral Nao Especificada;2
B20:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv], Resultando em Doencas Infecciosas e Parasitarias;4
B21:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv], Resultando em Neoplasias Malignas;0
B22:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Resultando em Outras Doencas Especificadas;2
B23:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Resultando em Outras Doencas;0
B24:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Nao Especificada;24
B25:Doenca por Citomegalovirus;0
B26:Caxumba [Parotidite Epidemica];0
B27:Mononucleose Infecciosa;0
B30:Conjuntivite Viral;0
B33:Outras Doencas por Virus Nao Classificada em Outra Parte;1
B34:Doencas por Virus, de Localizacao Nao Especificada;208
B35:Dermatofitose;3
B36:Outras Micoses Superficiais;1
B37:Candidiase;1
B38:Coccidioidomicose;0
B39:Histoplasmose;0
B40:Blastomicose;0
B41:Paracoccidioidomicose;14
B42:Esporotricose;0
B43:Cromomicose e Abscesso Feomicotico;0
B44:Aspergilose;0
B45:Criptococose;0
B46:Zigomicose;0
B47:Micetoma;0
B48:Outras Micoses, Nao Classificadas em Outra Parte;0
B49:Micose Nao Especificada;0
B50:Malaria por Plasmodium Falciparum;0
B51:Malaria por Plasmodium Vivax;2
B52:Malaria por Plasmodium Malariae;0
B53:Outras Formas de Malaria Confirmadas por Exames Parasitologicos;0
B54:Malaria Nao Especificada;0
B55:Leishmaniose;16
B56:Tripanossomiase Africana;0
B57:Doenca de Chagas;1
B58:Toxoplasmose;0
B59:Pneumocistose;0
B60:Outras Doencas Devidas a Protozoarios, Nao Classificadas em Outra Parte;0
B64:Doenca Nao Especificada Devida a Protozoarios;0
B65:Esquistossomose [Bilharziose] [Schistosomiase];0
B66:Outras Infestacoes por Trematodeos;0
B67:Equinococose;0
B68:Infestacao por Taenia;0
B69:Cisticercose;0
B70:Difilobotriase e Esparganose;0
B71:Outras Infestacoes por Cestoides;0
B72:Dracontiase;0
B73:Oncocercose;0
B74:Filariose;0
B75:Triquinose;0
B76:Ancilostomiase;0
B77:Ascaridiase;0
B78:Estrongiloidiase;0
B79:Tricuriase;0
B80:Oxiuriase;0
B81:Outras Helmintiases Intestinais, Nao Classificadas em Outra Parte;0
B82:Parasitose Intestinal Nao Especificada;0
B83:Outras Helmintiases;0
B85:Pediculose e Ftiriase;0
B86:Escabiose [Sarna];0
B87:Miiase;0
B88:Outras Infestacoes;0
B89:Doenca Parasitaria Nao Especificada;0
B90:Sequelas de Tuberculose;0
B91:Sequelas de Poliomielite;0
B92:Sequelas de Hanseniase [Lepra];1
B94:Sequelas de Outras Doencas Infecciosas e Parasitarias e das Nao Especificadas;0
B95:Estreptococos e Estafilococos Como Causa de Doencas Classificadas em Outros Capitulos;0
B96:Outros Agentes Bacterianos, Como Causa de Doencas Classificadas em Outros Capitulos;0
B97:Virus Como Causa de Doencas Classificadas em Outros Capitulos;10
B99:Doencas Infecciosas, Outras e as Nao Especificadas;0
Capítulo II: Neoplasias [tumores] (C00-D48);134
C00:Neoplasia Maligna do Labio;0
C01:Neoplasia Maligna da Base da Lingua;0
C02:Neoplasia Maligna de Outras Partes e de Partes Nao Especificadas da Lingua;0
C03:Neoplasia Maligna da Gengiva;0
C04:Neoplasia Maligna do Assoalho da Boca;0
C05:Neoplasia Maligna do Palato;0
C06:Neoplasia Maligna de Outras Partes e de Partes Nao Especificadas da Boca;1
C07:Neoplasia Maligna da Glandula Parotida;0
C08:Neoplasia Maligna de Outras Glandulas Salivares Maiores e as Nao Especificadas;0
C09:Neoplasia Maligna da Amigdala;0
C10:Neoplasia Maligna da Orofaringe;0
C11:Neoplasia Maligna da Nasofaringe;0
C12:Neoplasia Maligna do Seio Piriforme;0
C13:Neoplasia Maligna da Hipofaringe;0
C14:Neoplasia Maligna de Outras Localizacoes e de Localizacoes Mal Definida, do Labio, Cavidade Oral e Faringe;0
C15:Neoplasia Maligna do Esofago;1
C16:Neoplasia Maligna do Estomago;11
C17:Neoplasia Maligna do Intestino Delgado;0
C18:Neoplasia Maligna do Colon;1
C19:Neoplasia Maligna da Juncao Retossigmoide;0
C20:Neoplasia Maligna do Reto;1
C21:Neoplasia Maligna do Anus e do Canal Anal;0
C22:Neoplasia Maligna do Figado e das Vias Biliares Intra-Hepaticas;0
C23:Neoplasia Maligna da Vesicula Biliar;0
C24:Neoplasia Maligna de Outras Partes, e de Partes Nao Especificadas das Vias Biliares;0
C25:Neoplasia Maligna do Pancreas;4
C26:Neoplasia Maligna de Outros Orgaos Digestivos e de Localizacoes Mal Definidas no Aparelho Digestivo;0
C30:Neoplasia Maligna da Cavidade Nasal e do Ouvido Medio;1
C31:Neoplasia Maligna dos Seios da Face;0
C32:Neoplasia Maligna da Laringe;4
C33:Neoplasia Maligna da Traqueia;0
C34:Neoplasia Maligna dos Bronquios e dos Pulmoes;11
C37:Neoplasia Maligna do Timo;0
C38:Neoplasia Maligna do Coracao, Mediastino e Pleura;0
C39:Neoplasia Maligna de Outras Localizacoes e de Localizacoes Mal Definidas do Aparelho Respiratorio e dos Orgaos Intratoracicos;0
C40:Neoplasia Maligna dos Ossos e Cartilagens Articulares dos Membros;0
C41:Neoplasia Maligna dos Ossos e das Cartilagens Articulares de Outras Localizacoes e de Localizacoes Nao Especificadas;0
C43:Melanoma Maligno da Pele;2
C44:Outras Neoplasias Malignas da Pele;57
C45:Mesotelioma;0
C46:Sarcoma de Kaposi;0
C47:Neoplasia Maligna dos Nervos Perifericos e do Sistema Nervoso Autonomo;0
C48:Neoplasia Maligna dos Tecidos Moles do RetroperitoNaoe do Peritonio;0
C49:Neoplasia Maligna do Tecido Conjuntivo e de Outros Tecidos Moles;0
C50:Neoplasia Maligna da Mama;4
C51:Neoplasia Maligna da Vulva;0
C52:Neoplasia Maligna da Vagina;0
C53:Neoplasia Maligna do Colo do Utero;0
C54:Neoplasia Maligna do Corpo do Utero;0
C55:Neoplasia Maligna do Utero, Porcao Nao Especificada;0
C56:Neoplasia Maligna do Ovario;0
C57:Neoplasia Maligna de Outros Orgaos Genitais Femininos e dos Nao Especificados;0
C58:Neoplasia Maligna da Placenta;0
C60:Neoplasia Maligna do Penis;0
C61:Neoplasia Maligna da Prostata;1
C62:Neoplasia Maligna dos Testiculos;0
C63:Neoplasia Maligna de Outros Orgaos Genitais Masculinos e dos Nao Especificados;0
C64:Neoplasia Maligna do Rim, Exceto Pelve Renal;0
C65:Neoplasia Maligna da Pelve Renal;0
C66:Neoplasia Maligna dos Ureteres;0
C67:Neoplasia Maligna da Bexiga;2
C68:Neoplasia Maligna de Outros Orgaos Urinarios e dos Nao Especificados;0
C69:Neoplasia Maligna do Olho e Anexos;0
C70:Neoplasia Maligna das Meninges;0
C71:Neoplasia Maligna do Encefalo;1
C72:Neoplasia Maligna da Medula Espinhal, dos Nervos Cranianos e de Outras Partes do Sistema Nervoso Central;0
C73:Neoplasia Maligna da Glandula Tireoide;0
C74:Neoplasia Maligna da Glandula Supra-Renal;0
C75:Neoplasia Maligna de Outras Glandulas Endocrinas e de Estruturas Relacionadas;0
C76:Neoplasia Maligna de Outras Localizacoes e de Localizacoes Mal Definidas;0
C77:Neoplasia Maligna Secundaria e Nao Especificada dos Ganglios Linfaticos;0
C78:Neoplasia Maligna Secundaria dos Orgaos Respiratorios e Digestivos;0
C79:Neoplasia Maligna Secundaria de Outras Localizacoes;0
C80:Neoplasia Maligna, sem Especificacao de Localizacao;0
C81:Doenca de Hodgkin;0
C82:Linfoma Nao-Hodgkin, Folicular (Nodular);0
C83:Linfoma Nao-Hodgkin Difuso;1
C84:Linfomas de Celulas T Cutaneas e Perifericas;0
C85:Linfoma Nao-Hodgkin de Outros Tipos e de Tipo Nao Especificado;0
C88:Doencas Imunoproliferativas Malignas;0
C90:Mieloma Multiplo e Neoplasias Malignas de Plasmocitos;0
C91:Leucemia Linfoide;6
C92:Leucemia Mieloide;14
C93:Leucemia Monocitica;1
C94:Outras Leucemias de Celulas de Tipo Especificado;0
C95:Leucemia de Tipo Celular Nao Especificado;1
C96:Outras Neoplasias Malignas e as Nao Especificadas dos Tecidos Linfatico, Hematopoetico e Tecidos Correlatos;0
C97:Neoplasias Malignas de Localizacoes Multiplas Independentes (Primarias);0
D00:Carcinoma In Situ da Cavidade Oral, do Esofago e do Estomago;0
D01:Carcinoma In Situ de Outros Orgaos Digestivos;0
D02:Carcinoma In Situ do Ouvido Medio e do Aparelho Respiratorio;0
D03:Melanoma In Situ;0
D04:Carcinoma In Situ da Pele;0
D05:Carcinoma In Situ da Mama;0
D06:Carcinoma In Situ do Colo do Utero (Cervix);0
D07:Carcinoma In Situ de Outros Orgaos Genitais e dos Nao Especificados;0
D09:Carcinoma In Situ de Outras Localizacoes e das Nao Especificadas;0
D10:Neoplasia Benigna da Boca e da Faringe;1
D11:Neoplasia Benigna de Glandulas Salivares Maiores;0
D12:Neoplasia Benigna do Colon, Reto, Canal Anal e Anus;0
D13:Neoplasia Benigna de Outras Partes e de Partes Mal Definidas do Aparelho Digestivo;0
D14:Neoplasia Benigna do Ouvido Medio e do Aparelho Respiratorio;0
D15:Neoplasia Benigna de Outros Orgaos Intratoracicos e dos Nao Especificados;0
D16:Neoplasia Benigna de Osso e de Cartilagem Articular;0
D17:Neoplasia Lipomatosa Benigna;0
D18:Hemangioma e Linfangioma de Qualquer Localizacao;0
D19:Neoplasia Benigna de Tecido Mesotelial;0
D20:Neoplasia Benigna de Tecido Mole do Retroperitonio e do Peritonio;0
D21:Outras Neoplasias Benignas do Tecido Conjuntivo e de Outros Tecidos Moles;1
D22:Nevos Melanociticos;0
D23:Outras Neoplasias Benignas da Pele;0
D24:Neoplasia Benigna da Mama;0
D25:Leiomioma do Utero;3
D26:Outras Neoplasias Benignas do Utero;0
D27:Neoplasia Benigna do Ovario;0
D28:Neoplasia Benigna de Outros Orgaos Genitais Femininos e de Orgaos Nao Especificados;0
D29:Neoplasia Benigna dos Orgaos Genitais Masculinos;0
D30:Neoplasia Benigna dos Orgaos Urinarios;0
D31:Neoplasia Benigna do Olho e Anexos;0
D32:Neoplasia Benigna das Meninges;0
D33:Neoplasia Benigna do Encefalo e de Outras Partes do Sistema Nervoso Central;0
D34:Neoplasia Benigna da Glandula Tireoide;0
D35:Neoplasia Benigna de Outras Glandulas Endocrinas e das Nao Especificadas;0
D36:Neoplasia Benigna de Outras Localizacoes e de Localizacoes Nao Especificadas;1
D37:Neoplasia de Comportamento Incerto ou Desconhecido da Cavidade Oral e dos Orgaos Digestivos;0
D38:Neoplasia de Comportamento Incerto ou Desconhecido do Ouvido Medio e dos Orgaos Respiratorios e Intratoracicos;0
D39:Neoplasia de Comportamento Incerto ou Desconhecido dos Orgaos Genitais Femininos;0
D40:Neoplasia de Comportamento Incerto ou Desconhecido dos Orgaos Genitais Masculinos;0
D41:Neoplasia de Comportamento Incerto ou Desconhecido dos Orgaos Urinarios;0
D42:Neoplasia de Comportamento Incerto ou Desconhecido das Meninges;0
D43:Neoplasia de Comportamento Incerto ou Desconhecido do Encefalo e do Sistema Nervoso Central;2
D44:Neoplasia de Comportamento Incerto ou Desconhecido das Glandulas Endocrinas;0
D45:Policitemia Vera;0
D46:Sindromes Mielodisplasicas;0
D47:Outras Neoplasias de Comportamento Incerto ou Desconhecido dos Tecidos Linfatico, Hematopoetico e Tecidos Correlatos;1
D48:Neoplasia de Comportamento Incerto ou Desconhecido de Outras Localizacoes e de Localizacoes Nao Especificadas;0
Capítulo III: Doencas do sangue e dos órgaos hematopoéticos e alguns transtornos imunitários (D50-D89);5
D50:Anemia por Deficiencia de Ferro;0
