CID10 CATEGORIA;Total_2018
Total;202406
Capítulo I: Algumas doencas infecciosas e parasitárias (A00-B99);838
A00:Colera;0
A01:Febres Tifoide e Paratifoide;0
A02:Outras Infeccoes por Salmonella;1
A03:Shiguelose;0
A04:Outras Infeccoes Intestinais Bacterianas;0
A05:Outras Intoxicacoes Alimentares Bacterianas;0
A06:Amebiase;0
A07:Outras Doencas Intestinais por Protozoarios;0
A08:Infeccoes Intestinais Virais, Outras e as Nao Especificadas;1
A09:Diarreia e Gastroenterite de Origem Infecciosa Presumivel;0
A15:Tuberculose Respiratoria, com Confirmacao Bacteriologica e Histologica;264
A16:Tuberculose das Vias Respiratorias, sem Confirmacao Bacteriologica ou Histologica;111
A17:Tuberculose do Sistema Nervoso;1
A18:Tuberculose de Outros Orgaos;24
A19:Tuberculose Miliar;8
A20:Peste;0
A21:Tularemia;0
A22:Carbunculo;1
A23:Brucelose;19
A24:Mormo e Melioidose;0
A25:Febres Transmitidas por Mordedura de Rato;0
A26:Erisipeloide;0
A27:Leptospirose;31
A28:Outras Doencas Bacterianas Zoonoticas Nao Classificadas em Outra Parte;0
A30:Hanseniase [Doenca de Hansen] [Lepra];4
A31:Infeccoes Devidas a Outras Micobacterias;0
A32:Listeriose [Listeriase];0
A33:Tetano do Recem-Nascido [Neonatal];0
A34:Tetano Obstetrico;0
A35:Outros Tipos de Tetano;3
A36:Difteria;0
A37:Coqueluche;0
A38:Escarlatina;0
A39:Infeccao Meningogocica;0
A40:Septicemia Estreptococica;1
A41:Outras Septicemias;2
A42:Actinomicose;0
A43:Nocardiose;0
A44:Bartonelose;0
A46:Erisipela;26
A48:Outras Doencas Bacterianas Nao Classificadas em Outra Parte;0
A49:Infeccao Bacteriana de Local Nao Especificado;7
A50:Sifilis Congenita;0
A51:Sifilis Precoce;1
A52:Sifilis Tardia;1
A53:Outras Formas e as Nao Especificadas da Sifilis;0
A54:Infeccao Gonococica;0
A55:Linfogranuloma (Venereo) por Clamidia;0
A56:Outras Infeccoes Causadas por Clamidias Transmitidas por Via Sexual;0
A57:Cancro Mole;0
A58:Granuloma Inguinal;0
A59:Tricomoniase;0
A60:Infeccoes Anogenitais Pelo Virus do Herpes [Herpes Simples];0
A63:Outras Doencas de Transmissao Predominantemente Sexual, Nao Classificadas em Outra Parte;0
A64:Doencas Sexualmente Transmitidas, Nao Especificadas;0
A65:Sifilis Nao-Venerea;0
A66:Bouba;2
A67:Pinta [Carate];0
A68:Febres Recorrentes [Borrelioses];0
A69:Outras Infeccoes por Espiroquetas;1
A70:Infeccoes Causadas por Clamidia Psittaci;0
A71:Tracoma;0
A74:Outras Doencas Causadas por Clamidias;0
A75:Tifo Exantematico;0
A77:Febre Maculosa [Rickettsioses Transmitidas por Carrapatos];0
A78:Febre Q;0
A79:Outras Rickettsioses;0
A80:Poliomielite Aguda;1
A81:Infeccoes por Virus Atipico do Sistema Nervoso Central;0
A82:Raiva;0
A83:Encefalite por Virus Transmitidos por Mosquitos;0
A84:Encefalite por Virus Transmitido por Carrapatos;0
A85:Outras Encefalites Virais, Nao Classificadas em Outra Parte;0
A86:Encefalite Viral, Nao Especificada;0
A87:Meningite Viral;0
A88:Outras Infeccoes Virais do Sistema Nervoso Central Nao Classificadas em Outra Parte;0
A89:Infeccoes Virais Nao Especificadas do Sistema Nervoso Central;0
A90:Dengue [Dengue Classico];8
A91:Febre Hemorragica Devida ao Virus do Dengue;0
A92:Outras Febres Virais Transmitidas por Mosquitos;0
A93:Outras Febres por Virus Transmitidas por Artropodes Nao Classificadas em Outra Parte;0
A94:Febre Viral Transmitida por Artropodes, Nao Especificada;0
A95:Febre Amarela;5
A96:Febre Hemorragica por Arenavirus;0
A98:Outras Febres Hemorragicas por Virus, Nao Classificadas em Outra Parte;0
A99:Febres Hemorragicas Virais Nao Especificadas;0
B00:Infeccoes Pelo Virus do Herpes [Herpes Simples];1
B01:Varicela;0
B02:Herpes Zoster [Zona];1
B03:Variola;0
B04:Variola dos Macacos [Monkeypox];0
B05:Sarampo;0
B06:Rubeola;0
B07:Verrugas de Origem Viral;1
B08:Outras Infeccoes Virais Caracterizadas por Lesoes da Pele e das Membranas Mucosas, Nao Classificadas em Outra Parte;0
B09:Infeccao Viral Nao Especificada Caracterizada por Lesoes da Pele e Membranas Mucosas;0
B15:Hepatite Aguda A;9
B16:Hepatite Aguda B;3
B17:Outras Hepatites Virais Agudas;3
B18:Hepatite Viral Cronica;12
B19:Hepatite Viral Nao Especificada;7
B20:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv], Resultando em Doencas Infecciosas e Parasitarias;12
B21:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv], Resultando em Neoplasias Malignas;0
B22:Doenca Pelo Virus da Imunodeficiencia Humana [Hiv] Resultando em Outras Doencas Especificadas;0
